"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2022","97.69","97.69","97.70","97.67","0.22K","0.01%"
"08/26/2022","97.68","97.68","97.70","97.68","1.39K","0.00%"
"08/25/2022","97.68","97.69","97.69","97.67","0.25K","0.00%"
"08/24/2022","97.68","97.68","97.68","97.67","0.20K","0.00%"
"08/23/2022","97.68","97.69","97.71","97.68","0.28K","0.00%"
"08/22/2022","97.68","97.70","97.70","97.68","0.05K","0.00%"
"08/19/2022","97.68","97.68","97.68","97.68","0.01K","0.00%"
"08/17/2022","97.68","97.68","97.71","97.68","0.02K","0.00%"
"08/16/2022","97.68","97.68","97.71","97.68","1.26K","0.01%"
"08/15/2022","97.67","97.68","97.68","97.67","0.76K","-0.01%"
"08/12/2022","97.68","97.68","97.75","97.65","0.63K","0.00%"
"08/11/2022","97.68","97.69","97.70","97.66","0.27K","0.01%"
"08/10/2022","97.67","97.68","99.14","97.67","0.21K","-0.01%"
"08/09/2022","97.68","97.68","97.70","97.68","0.01K","0.01%"
"08/08/2022","97.67","97.69","97.70","97.67","0.03K","-0.01%"
"08/05/2022","97.68","97.68","97.70","97.68","0.04K","0.00%"
"08/04/2022","97.68","97.68","97.75","97.68","3.06K","0.00%"
"08/03/2022","97.68","97.68","97.70","97.68","0.26K","-0.02%"
"08/02/2022","97.70","97.69","97.70","97.67","1.05K","0.03%"
"08/01/2022","97.67","97.68","97.70","97.67","6.75K","-0.02%"
"07/29/2022","97.69","97.68","97.69","97.68","0.95K","0.01%"
"07/27/2022","97.68","97.68","97.71","97.68","5.94K","0.00%"
"07/26/2022","97.68","97.68","97.69","97.68","0.01K","0.01%"
"07/25/2022","97.67","97.68","97.69","97.67","0.27K","-0.01%"
"07/22/2022","97.68","97.67","97.68","97.67","2.18K","-0.01%"
"07/21/2022","97.69","97.69","97.69","97.68","0.01K","0.00%"
"07/20/2022","97.69","97.69","97.70","97.69","5.92K","0.00%"
"07/19/2022","97.69","97.69","97.71","97.68","4.48K","0.00%"
"07/18/2022","97.69","97.69","97.72","97.69","0.21K","-0.02%"
"07/15/2022","97.71","97.69","97.71","97.69","0.00K","0.01%"
"07/14/2022","97.70","97.71","97.72","97.68","6.48K","-0.02%"
"07/13/2022","97.72","97.70","97.72","97.70","1.47K","0.00%"
"07/12/2022","97.72","97.70","97.72","97.70","0.02K","0.01%"
"07/11/2022","97.71","97.70","97.72","97.70","3.23K","0.01%"
"07/08/2022","97.70","97.71","97.72","97.70","0.59K","-0.01%"
"07/07/2022","97.71","97.76","97.76","97.70","29.00K","0.00%"
"07/06/2022","97.71","97.71","97.72","97.71","0.10K","0.00%"
"07/05/2022","97.71","97.71","97.73","97.70","0.34K","0.00%"
"07/04/2022","97.71","97.71","97.71","97.70","1.03K","0.01%"
"07/01/2022","97.70","97.71","97.73","97.70","3.90K","-0.04%"
"06/30/2022","97.74","97.72","97.74","97.70","4.43K","0.02%"
"06/29/2022","97.72","97.72","97.74","97.71","1.71K","0.01%"
"06/28/2022","97.71","97.72","97.73","97.70","8.83K","-0.03%"
"06/27/2022","97.74","97.72","97.74","97.72","1.80K","0.02%"
"06/24/2022","97.72","97.72","97.74","97.70","0.98K","0.00%"
"06/23/2022","97.72","97.72","97.74","97.71","0.03K","-0.03%"
"06/21/2022","97.75","97.72","97.75","97.71","2.77K","0.02%"
"06/20/2022","97.73","97.73","97.74","97.72","0.29K","0.00%"
"06/17/2022","97.73","97.73","97.74","97.73","9.07K","-0.02%"
"06/16/2022","97.75","97.73","97.75","97.73","1.59K","0.02%"
"06/15/2022","97.73","97.73","97.75","97.73","0.79K","0.00%"
"06/14/2022","97.73","97.74","97.75","97.73","0.01K","-0.02%"
"06/13/2022","97.75","97.73","97.75","97.73","2.16K","-0.01%"
"06/10/2022","97.76","97.73","97.76","97.71","5.31K","0.01%"
"06/09/2022","97.75","97.75","97.76","97.75","2.71K","0.02%"
"06/08/2022","97.73","97.75","97.75","97.73","1.11K","0.00%"
"06/07/2022","97.73","97.74","97.76","97.73","2.53K","-0.01%"
"06/06/2022","97.74","97.74","97.76","97.74","9.62K","0.00%"
"06/03/2022","97.74","97.75","97.76","97.74","0.11K","-0.01%"
"06/02/2022","97.75","97.75","97.76","97.75","0.05K","-0.02%"
"06/01/2022","97.77","98.10","98.10","97.74","0.62K","0.03%"
"05/31/2022","97.74","97.75","97.77","97.74","0.17K","-0.01%"
"05/30/2022","97.75","97.75","97.77","97.75","0.55K","0.00%"
"05/27/2022","97.75","97.76","97.77","97.74","2.55K","0.00%"
"05/26/2022","97.75","97.76","97.78","97.75","0.20K","0.00%"
"05/25/2022","97.75","97.76","97.77","97.75","0.35K","0.00%"
"05/24/2022","97.75","97.76","97.78","97.75","1.95K","0.00%"
"05/23/2022","97.75","97.78","97.78","97.75","1.42K","-0.02%"
"05/20/2022","97.77","97.76","97.77","97.76","0.03K","0.01%"
"05/19/2022","97.76","97.78","97.78","97.74","2.33K","0.00%"
"05/18/2022","97.76","97.76","97.78","97.75","7.94K","0.00%"
"05/17/2022","97.76","97.76","97.78","97.74","5.42K","-0.02%"
"05/16/2022","97.78","97.77","97.78","97.75","1.26K","0.02%"
"05/13/2022","97.76","97.77","97.78","97.76","3.87K","-0.01%"
"05/12/2022","97.77","97.77","97.79","97.75","2.77K","-0.03%"
"05/11/2022","97.80","97.78","97.80","97.76","2.50K","0.02%"
"05/10/2022","97.78","97.80","97.81","97.78","0.26K","0.01%"
"05/09/2022","97.77","97.83","97.83","97.74","7.32K","-0.01%"
"05/06/2022","97.78","97.78","97.78","97.76","0.43K","0.00%"
"05/05/2022","97.78","97.76","97.80","97.76","0.15K","-0.02%"
"05/04/2022","97.80","97.78","97.80","97.77","1.79K","0.00%"
"05/03/2022","97.80","97.80","97.80","97.80","","0.03%"
"05/02/2022","97.77","97.82","97.82","97.77","3.18K","-0.04%"
"04/29/2022","97.81","97.82","97.82","97.80","0.24K","0.02%"
"04/28/2022","97.79","97.79","97.81","97.77","0.45K","0.00%"
"04/27/2022","97.79","97.79","97.81","97.78","0.99K","-0.02%"
"04/26/2022","97.81","97.81","97.81","97.81","","0.03%"
"04/25/2022","97.78","97.79","97.81","97.78","0.71K","0.00%"
"04/22/2022","97.78","97.79","97.81","97.78","0.35K","-0.02%"
"04/21/2022","97.80","97.80","97.81","97.79","0.10K","0.00%"
"04/20/2022","97.80","97.80","97.82","97.78","30.44K","0.00%"
"04/19/2022","97.80","97.77","97.81","97.77","0.58K","-0.01%"
"04/14/2022","97.81","97.80","97.83","97.80","0.15K","0.01%"
"04/13/2022","97.80","97.81","97.81","97.80","1.00K","-0.03%"
